,Ubigeo,pobreza_media,Anio
35,50808,52.7,2013
39,50807,52.6,2013
44,90110,52.3,2013
46,30104,52.3,2013
48,90206,52.1,2013
49,50804,52.05,2013
50,50603,52.0,2013
0,80705,51.85,2013
1,90308,51.8,2013
4,50701,51.7,2013
8,80205,51.65,2013
9,90406,51.650000000000006,2013
12,90703,51.5,2013
14,50401,51.45,2013
26,30306,50.900000000000006,2013
27,30405,50.85,2013
30,30211,50.8,2013
31,90615,50.75,2013
33,90405,50.75,2013
37,90305,50.6,2013
38,80605,50.599999999999994,2013
48,30711,50.3,2013
49,80201,50.3,2013
3,120207,49.95,2013
10,30204,49.55,2013
13,90109,49.35,2013
15,90116,49.3,2013
17,90616,49.25,2013
18,81001,49.2,2013
20,30414,49.05,2013
23,80806,48.95,2013
29,80501,48.8,2013
31,81210,48.75,2013
34,50604,48.650000000000006,2013
35,90114,48.6,2013
37,80404,48.55,2013
43,90404,48.349999999999994,2013
45,120423,48.2,2013
51,90301,47.849999999999994,2013
52,90710,47.849999999999994,2013
53,51003,47.75,2013
2,30219,47.650000000000006,2013
4,81002,47.599999999999994,2013
12,90501,47.45,2013
13,120422,47.3,2013
15,90408,47.25,2013
17,90412,47.2,2013
19,120418,47.150000000000006,2013
22,81006,47.1,2013
24,90113,46.85,2013
27,30411,46.8,2013
28,50616,46.75,2013
29,30413,46.75,2013
30,30407,46.7,2013
32,90605,46.6,2013
38,80802,46.5,2013
39,30709,46.45,2013
41,80202,46.349999999999994,2013
44,50613,46.2,2013
49,90608,46.099999999999994,2013
51,90602,46.05,2013
53,120108,45.85,2013
9,80805,45.45,2013
10,30710,45.400000000000006,2013
12,120106,45.35,2013
16,120214,45.1,2013
21,50607,44.8,2013
22,120502,44.75,2013
24,90509,44.7,2013
25,90117,44.7,2013
27,30108,44.55,2013
31,30502,44.5,2013
32,120704,44.5,2013
34,120707,44.45,2013
38,120204,44.3,2013
45,120202,44.05,2013
50,30402,43.9,2013
52,80503,43.85,2013
2,80502,43.7,2013
4,30209,43.650000000000006,2013
7,120112,43.55,2013
8,90402,43.5,2013
11,120431,43.4,2013
12,81206,43.35,2013
18,90410,43.15,2013
20,50608,43.150000000000006,2013
22,120909,43.1,2013
28,90411,43.0,2013
31,120116,42.85,2013
36,120432,42.7,2013
38,50610,42.650000000000006,2013
45,81009,42.5,2013
46,90106,42.5,2013
47,30102,42.45,2013
48,90104,42.35,2013
49,90201,42.3,2013
50,90505,42.25,2013
51,90611,42.25,2013
52,120415,42.15,2013
53,30705,42.1,2013
0,30601,42.0,2013
3,120412,41.95,2013
4,120416,41.85,2013
8,80704,41.75,2013
13,90207,41.6,2013
14,90403,41.55,2013
17,120706,41.5,2013
24,90603,41.2,2013
26,81003,41.099999999999994,2013
28,90310,41.05,2013
35,90401,40.75,2013
36,90604,40.65,2013
40,90701,40.5,2013
42,30103,40.400000000000006,2013
47,120126,40.1,2013
52,90102,40.0,2013
7,80804,39.9,2013
11,80807,39.7,2013
15,81207,39.55,2013
16,110502,39.55,2013
17,30403,39.55,2013
20,50301,39.35,2013
23,80304,39.3,2013
25,50601,39.2,2013
26,80402,39.1,2013
38,120805,38.65,2013
41,80305,38.599999999999994,2013
52,30213,38.150000000000006,2013
53,80708,38.150000000000006,2013
0,120501,38.05,2013
1,120503,38.05,2013
3,30302,37.95,2013
5,120429,37.9,2013
10,50104,37.75,2013
14,80701,37.7,2013
15,120402,37.65,2013
16,120425,37.65,2013
17,50614,37.65,2013
18,50619,37.65,2013
19,50621,37.65,2013
21,80405,37.45,2013
22,120906,37.4,2013
24,120403,37.349999999999994,2013
27,120605,37.15,2013
29,90107,37.05,2013
31,120608,36.95,2013
38,120302,36.7,2013
39,90204,36.65,2013
42,80506,36.5,2013
44,80505,36.4,2013
52,120902,35.95,2013
4,120702,35.8,2013
13,50805,35.4,2013
16,120122,35.25,2013
19,80403,35.15,2013
27,120128,34.9,2013
33,120607,34.65,2013
34,81208,34.599999999999994,2013
40,80808,34.4,2013
48,81004,34.0,2013
50,80204,33.900000000000006,2013
52,120802,33.85,2013
15,80606,33.5,2013
17,50609,33.5,2013
19,80603,33.400000000000006,2013
20,90309,33.4,2013
21,90706,33.35,2013
26,80306,33.2,2013
34,30201,32.9,2013
40,120603,32.75,2013
42,120433,32.75,2013
44,50801,32.65,2013
48,80302,32.45,2013
0,120111,32.2,2013
2,80910,32.1,2013
6,81202,31.95,2013
7,80907,31.95,2013
9,120306,31.9,2013
10,90508,31.799999999999997,2013
11,120405,31.75,2013
26,120406,31.6,2013
34,30406,31.4,2013
40,30216,31.15,2013
43,120705,30.9,2013
46,120903,30.849999999999998,2013
53,120602,30.55,2013
22,120303,29.75,2013
24,120133,29.7,2013
34,120419,29.4,2013
39,120127,29.2,2013
45,120807,29.05,2013
48,80301,28.9,2013
51,80307,28.75,2013
52,120421,28.75,2013
3,80602,28.55,2013
9,80903,28.4,2013
11,90413,28.299999999999997,2013
19,81106,28.049999999999997,2013
20,90111,28.05,2013
25,120408,27.75,2013
29,120213,27.45,2013
38,120414,27.099999999999998,2013
40,80504,27.05,2013
41,80407,27.0,2013
44,50110,26.95,2013
46,50116,26.85,2013
51,120134,26.700000000000003,2013
52,81008,26.700000000000003,2013
0,81201,26.6,2013
2,120908,26.6,2013
3,120809,26.549999999999997,2013
7,120420,26.450000000000003,2013
14,30109,26.25,2013
20,80604,25.95,2013
21,120407,25.900000000000002,2013
