,Ubigeo,pobreza_media,Anio
1434,81301,21.066471,2018
1451,120804,20.47686,2018
1452,120807,20.47686,2018
1453,90108,20.41227,2018
1454,90111,20.41227,2018
1462,120108,20.04704,2018
1464,120122,20.04704,2018
1465,120127,20.04704,2018
1466,120202,20.04204,2018
1467,120211,20.04204,2018
1469,120902,19.955569999999998,2018
1470,30101,19.900498,2018
1472,50805,19.857407000000002,2018
1476,30109,19.734357000000003,2018
1497,81208,19.07511,2018
1498,81211,19.07511,2018
1518,120908,18.760170000000002,2018
1519,50110,18.759878999999998,2018
1523,120201,18.66913,2018
1524,120212,18.66913,2018
1530,120408,18.58019,2018
1531,120410,18.58019,2018
1532,120412,18.58019,2018
1533,120431,18.58019,2018
1549,80607,17.962187,2018
1554,90508,17.552198999999998,2018
1568,90101,17.073401,2018
1569,120117,17.07232,2018
1570,120125,17.07232,2018
1576,90118,16.825292,2018
1578,120428,16.692441000000002,2018
1593,50115,16.283851999999996,2018
1613,120301,15.38681,2018
1614,120305,15.38681,2018
1625,81203,15.06989,2018
1626,50101,15.054645999999998,2018
1635,80904,14.833678,2018
1643,120701,14.537614,2018
1644,120901,14.533798,2018
1645,90413,14.466285000000001,2018
1659,120805,14.238627999999999,2018
1663,81307,14.017021,2018
1670,120401,13.768551,2018
1671,120306,13.756187,2018
1674,120803,13.6195,2018
1675,120806,13.6195,2018
1679,90601,13.467308000000001,2018
1681,120215,13.418097000000001,2018
1687,50116,13.243211,2018
1694,120107,13.03173,2018
1702,120801,12.575500000000002,2018
1703,120808,12.575500000000002,2018
1711,120409,12.41071,2018
1712,120413,12.41071,2018
1713,120414,12.41071,2018
1719,80104,11.983353000000001,2018
1749,80303,10.934871999999999,2018
1755,110208,10.640539999999998,2018
1756,110209,10.640539999999998,2018
1795,110405,8.612402999999999,2018
1798,80106,8.301604,2018
1799,80901,8.292162000000001,2018
1800,80101,8.214426,2018
1806,80105,7.710494,2018
1823,110404,6.609853000000001,2018
1825,120101,6.563487,2018
1826,110114,6.443243000000001,2018
1828,110103,6.4116040000000005,2018
1840,110503,5.87026,2018
1843,110108,5.490567,2018
1849,110109,5.164300000000001,2018
1850,110401,5.117470999999999,2018
1851,120114,5.1083929999999995,2018
1854,110505,4.926614,2018
1857,110507,4.783545,2018
1860,110105,4.387934,2018
1861,110112,4.354553,2018
1863,110113,4.290589000000001,2018
1864,120810,4.271369,2018
1868,110502,3.98449,2018
1870,110504,3.947185,2018
1871,110305,3.8953120000000006,2018
1872,110202,3.691668,2018
1873,110508,3.6708070000000004,2018
1874,110402,3.6640449999999993,2018
1876,110210,3.3795690000000005,2018
1877,110206,3.34979,2018
1878,110302,3.317797,2018
1880,110207,3.22399,2018
1882,110106,3.132139,2018
1883,110205,3.1296160000000004,2018
1884,110501,3.123501,2018
1887,110111,3.082752,2018
1888,110301,3.023548,2018
1889,110102,2.993514,2018
1890,110110,2.880511,2018
1891,110403,2.825618,2018
1893,110506,2.730565,2018
1894,110201,2.6407040000000004,2018
1895,110211,2.585728,2018
1896,110303,2.553786,2018
1897,110304,2.243134,2018
1898,110101,2.1653569999999998,2018
1900,110204,1.992541,2018
1904,110104,1.5319180000000001,2018
1907,80108,1.376287,2018
1914,110107,0.70023014,2018
